,edge_1,edge_2
274,4,380
275,4,381
276,4,382
277,4,383
278,4,384
279,4,385
280,4,386
281,4,387
282,4,388
283,4,389
284,4,390
285,4,391
286,4,392
287,4,203
288,4,393
289,4,394
290,4,54
291,4,395
292,4,396
293,4,397
294,4,398
295,4,399
296,4,400
297,4,401
298,4,36
299,4,402
300,4,403
301,4,404
302,4,405
303,4,406
304,4,407
305,4,408
306,4,409
307,4,410
308,5,411
309,5,412
310,5,413
311,5,414
312,5,415
313,5,416
314,5,417
315,5,418
316,5,419
317,5,420
318,5,421
319,5,422
320,5,423
321,5,424
322,5,425
323,5,382
324,5,426
325,5,427
326,5,428
327,5,429
328,5,430
329,5,340
330,5,431
331,5,432
332,5,433
333,5,434
334,5,435
335,5,436
336,5,437
337,5,438
338,5,439
339,5,440
340,5,441
341,5,442
342,5,443
343,5,444
344,5,445
345,5,446
346,5,447
347,5,448
348,5,449
349,5,450
350,5,451
351,5,452
352,5,453
353,5,454
354,5,455
355,5,456
356,5,457
357,5,458
358,5,459
359,5,460
360,5,461
361,5,462
362,5,21
363,5,463
364,5,54
365,5,464
366,5,465
367,5,466
368,5,467
369,5,468
370,5,469
371,5,470
372,5,471
373,5,472
374,5,473
375,5,474
376,5,475
377,5,476
378,5,477
379,5,478
380,5,479
381,5,480
382,5,481
383,5,482
384,5,483
385,5,484
386,5,485
387,5,486
388,5,487
389,5,488
390,5,489
391,5,90
392,5,61
393,5,490
394,5,226
395,5,491
396,5,492
397,5,493
398,5,494
399,5,495
400,5,496
401,5,497
402,5,498
403,5,499
404,5,500
405,5,501
406,5,502
407,5,343
408,6,503
409,6,504
410,6,505
411,6,506
412,6,507
413,6,508
414,6,509
415,6,510
416,6,511
417,6,512
418,6,513
419,6,514
420,6,515
421,6,516
422,6,517
423,6,518
424,6,519
425,6,520
426,6,521
427,6,522
428,6,523
429,6,524
430,6,525
431,6,526
432,6,527
433,6,528
434,6,43
435,6,529
436,6,37
437,6,530
438,6,531
439,6,343
440,6,532
441,6,533
442,6,534
443,6,535
444,6,536
445,6,537
446,6,538
447,6,539
448,6,540
449,6,541
450,6,542
451,6,543
452,6,544
453,6,545
454,6,546
455,6,547
456,6,548
457,6,549
458,6,550
459,6,329
460,6,551
461,6,552
462,6,553
463,6,554
464,6,555
465,6,556
466,6,557
467,6,558
468,6,559
469,6,560
470,6,561
471,6,562
472,6,563
473,6,564
474,6,565
475,6,566
476,6,567
477,6,568
478,6,569
479,6,570
480,6,571
481,6,572
482,6,573
483,6,574
484,6,575
485,6,576
486,6,577
487,6,578
488,6,579
489,6,580
490,6,581
491,6,582
492,6,583
493,6,584
494,6,585
495,6,586
496,6,587
497,6,588
498,6,589
499,6,590
500,6,591
501,6,592
502,6,593
503,6,594
504,6,595
505,6,596
506,6,597
507,6,598
508,7,599
509,7,600
510,7,601
511,7,602
512,7,603
513,7,604
514,7,605
515,7,606
516,7,607
517,7,608
518,7,609
519,7,610
520,7,611
521,7,612
522,7,613
523,7,614
524,7,615
525,7,616
526,7,617
527,7,618
528,7,619
529,7,620
530,7,621
531,7,622
532,7,623
533,7,624
534,7,625
535,7,626
536,7,627
537,7,628
538,7,629
539,7,630
540,7,631
541,7,632
542,7,633
543,7,634
544,7,635
545,7,636
546,7,637
547,7,638
548,7,639
549,7,640
550,7,641
551,7,642
552,7,643
553,7,644
554,7,645
555,7,646
556,7,647
557,7,648
558,7,649
559,7,650
560,7,651
561,7,652
562,7,653
563,7,654
564,7,655
565,7,656
566,7,657
567,7,658
568,7,659
569,7,660
570,7,661
571,7,662
572,7,663
573,7,664
574,7,665
575,7,666
576,7,667
577,7,668
578,7,669
579,7,670
580,7,671
581,7,672
582,7,673
583,7,674
584,7,675
585,7,676
586,7,677
587,7,678
588,7,679
589,7,680
590,7,681
591,7,682
592,7,683
593,7,684
594,7,685
595,7,686
596,7,687
597,7,688
598,7,689
599,7,690
600,7,691
601,7,692
602,7,693
603,7,694
604,7,695
605,7,696
606,7,697
607,7,698
608,8,325
609,8,84
610,8,83
611,8,331
612,8,699
613,8,700
614,8,701
615,8,142
616,8,702
617,8,703
618,8,704
619,8,397
620,8,197
621,8,705
622,8,706
623,8,707
624,8,708
625,8,709
626,8,710
627,8,711
628,8,712
629,8,713
630,8,714
631,8,715
632,8,716
633,8,717
634,8,718
635,8,719
636,8,720
637,8,721
638,8,722
639,8,723
640,8,724
641,8,725
642,8,125
643,8,726
644,8,727
645,8,728
646,8,729
647,8,730
648,8,731
649,8,732
650,8,733
651,8,734
652,8,735
653,8,736
654,8,737
655,8,738
656,8,739
657,8,740
658,8,741
659,8,742
660,8,743
661,8,744
662,8,745
663,8,746
664,8,747
665,8,748
666,8,749
667,8,750
668,8,751
669,8,752
670,8,753
671,8,754
672,8,755
673,8,756
674,8,757
675,8,758
676,8,759
677,8,760
678,8,761
679,8,762
680,8,763
681,8,764
682,8,765
683,8,766
684,8,767
685,8,768
686,8,339
687,8,769
688,8,770
689,8,771
690,8,772
691,8,773
692,8,774
693,8,775
694,8,776
695,8,777
696,8,778
697,8,779
698,8,780
699,8,781
700,8,782
701,8,783
702,8,784
703,8,785
704,8,786
705,8,787
706,8,788
707,8,789
708,9,790
709,9,791
710,9,60
711,9,792
712,9,13
713,9,793
714,9,794
715,9,795
716,9,73
717,9,100
718,9,796
719,9,797
720,9,49
721,9,798
722,9,799
723,9,800
724,9,801
725,9,322
726,9,802
727,9,51
728,9,803
729,9,804
730,9,805
731,9,128
732,9,806
733,9,807
734,9,808
735,9,809
736,9,810
737,9,811
738,9,114
739,9,812
740,9,813
741,9,69
742,9,814
743,9,815
744,9,816
745,9,817
746,9,818
747,9,819
748,9,53
749,9,55
750,9,820
751,9,226
752,10,821
753,10,822
754,10,823
755,10,824
756,10,825
757,10,826
758,10,827
759,10,828
760,10,829
761,10,830
762,10,831
763,10,832
764,10,833
765,10,834
766,10,835
767,10,836
768,10,837
769,10,838
770,10,839
771,10,840
772,10,841
773,10,842
774,10,843
775,10,844
776,10,845
777,10,846
778,10,847
779,10,848
780,10,849
781,10,850
782,10,851
783,10,852
784,10,853
785,10,854
786,10,855
787,10,856
788,10,857
789,10,858
790,10,859
791,10,860
792,10,861
793,10,862
794,10,863
795,10,864
796,10,865
797,10,866
798,10,867
799,10,868
800,10,869
801,10,870
802,10,871
803,10,872
804,10,873
805,10,874
806,10,875
807,10,876
808,10,877
809,10,878
810,10,879
811,10,880
812,10,881
813,10,540
814,10,882
815,10,226
816,10,883
817,10,884
818,10,885
819,10,886
820,10,887
821,10,888
822,10,889
823,10,890
824,10,891
825,10,892
826,10,893
827,10,894
828,10,895
829,10,896
830,10,897
831,10,898
832,10,899
833,10,900
834,10,901
835,10,902
836,10,903
837,10,904
838,10,905
839,10,906
840,10,907
841,10,908
842,10,909
843,10,521
844,10,910
845,10,911
846,10,912
847,10,913
848,10,914
849,10,915
850,10,916
851,10,917
852,11,918
853,11,919
854,11,920
855,11,921
856,11,922
857,11,923
858,11,924
859,11,925
860,11,926
861,11,927
862,11,928
863,11,929
864,11,930
865,11,931
866,11,932
867,11,933
868,11,934
869,11,935
870,11,704
871,11,936
872,11,937
873,11,938
874,11,84
875,11,939
876,11,940
877,11,941
878,11,942
879,11,943
880,11,944
881,11,945
882,11,946
883,11,947
884,11,948
885,11,949
886,11,950
887,11,951
888,11,952
889,11,953
890,11,954
891,11,955
892,11,956
893,11,957
894,11,958
895,11,959
896,11,960
897,11,961
898,11,962
899,11,963
900,11,337
901,11,964
902,11,397
903,11,965
904,11,966
905,11,967
906,11,968
907,11,969
908,11,970
909,11,971
910,11,972
911,11,973
912,11,974
913,11,975
914,11,976
915,11,977
916,11,978
917,11,979
918,11,980
919,11,981
920,11,982
921,11,983
922,11,984
923,11,985
924,11,986
925,11,987
926,11,988
927,11,989
928,11,990
929,11,991
930,11,992
931,11,993
932,11,994
933,11,995
934,11,996
935,11,997
936,11,998
937,11,999
938,11,1000
939,11,1001
940,11,1002
941,11,1003
942,11,1004
943,11,1005
944,11,1006
945,11,1007
946,11,1008
947,11,1009
948,11,1010
949,11,322
950,11,1011
951,11,1012
952,12,1013
953,12,1014
954,12,1015
955,12,1016
956,12,1017
957,12,1018
958,12,1019
959,12,1020
960,12,1021
961,12,1022
962,12,1023
963,12,1024
964,12,1025
965,12,1026
966,12,1027
967,12,1028
968,12,1029
969,12,123
970,12,1030
971,12,1031
972,12,1032
973,12,1033
974,12,1034
975,12,1035
976,12,1036
977,12,1037
978,12,1038
979,12,15
980,12,1039
981,12,1040
982,12,1041
983,12,1042
984,12,56
985,12,1043
986,12,1044
987,12,1045
988,12,1046
989,12,1047
990,12,1048
991,12,1049
992,12,1050
993,12,1051
994,12,1052
995,12,1053
996,12,1054
997,12,1055
998,12,704
999,12,1056
1000,12,1057
1001,12,1058
1002,12,1059
1003,12,1060
1004,12,1061
1005,12,1062
1006,12,1063
1007,12,1064
1008,12,1065
1009,12,1066
1010,12,101
1011,12,1067
1012,12,1068
1013,12,1069
1014,12,1070
1015,12,1071
1016,12,1072
1017,12,1073
1018,12,1074
1019,12,1075
1020,12,1076
1021,12,1077
1022,12,1078
1023,12,1079
1024,12,1080
1025,12,1081
1026,12,1082
1027,12,1083
1028,12,1084
1029,12,1085
1030,12,1086
1031,12,1087
1032,12,1088
1033,12,1089
1034,12,1090
1035,12,1091
1036,12,1092
1037,12,1093
1038,12,1094
1039,12,1095
1040,12,1096
1041,12,1097
1042,12,1098
1043,12,1099
1044,12,1100
1045,12,1101
1046,12,1102
1047,12,1103
1048,12,1104
1049,12,1105
1050,12,1106
1051,12,1107
1052,13,58
1053,13,1108
1054,13,63
1055,13,1109
1056,13,1110
1057,13,110
1058,13,1111
1059,13,15
1060,13,1112
1061,13,124
1062,13,1113
1063,13,1114
1064,13,1115
1065,13,49
1066,13,1116
1067,13,1117
1068,13,1118
1069,13,1119
1070,13,56
1071,13,1120
1072,13,1121
1073,13,1122
1074,13,103
1075,13,1123
1076,13,1124
1077,13,1125
1078,13,1126
1079,13,1127
1080,13,1128
1081,13,1129
1082,13,1130
1083,13,101
1084,13,1131
1085,13,1132
1086,13,1133
1087,13,128
1088,13,1134
1089,13,1135
1090,13,1136
1091,13,1137
1092,13,1138
1093,13,1139
1094,13,1140
1095,13,1141
1096,13,1142
1097,13,1143
1098,13,1144
1099,13,1145
1100,13,1146
1101,13,1147
1102,13,1148
1103,13,1149
1104,13,1150
1105,13,60
1106,13,89
1107,13,1151
1108,13,1152
1109,13,1153
1110,13,1154
1111,13,1155
1112,13,1156
1113,13,1157
1114,13,1158
1115,13,1159
1116,13,1160
1117,13,1161
1118,13,1162
1119,13,1163
1120,13,1164
1121,13,32
1122,13,1165
1123,13,1166
1124,13,1167
1125,13,1168
1126,13,9
1127,13,1169
1128,13,1170
1129,13,1171
1130,13,1172
1131,13,1173
1132,13,1174
1133,13,1175
1134,13,1176
1135,13,1177
1136,13,1178
1137,13,1179
1138,13,1180
1139,13,1181
1140,13,523
1141,13,1182
1142,13,1183
1143,13,1184
1144,13,1185
1145,13,1186
1146,13,1187
1147,13,1188
1148,13,1189
1149,13,1190
1150,13,1191
1151,13,1192
1152,14,1193
1153,14,1194
1154,14,1195
1155,14,1196
1156,14,1197
1157,14,1198
1158,14,814
1159,14,1199
1160,14,1175
1161,14,226
1162,14,1200
1163,14,49
1164,14,1201
1165,14,1202
1166,14,518
1167,14,519
1168,14,1203
1169,14,1204
1170,14,1205
1171,14,1206
1172,14,1207
1173,14,1208
1174,14,1209
1175,14,1210
1176,14,1211
1177,14,1212
1178,14,1213
1179,14,1214
1180,14,1215
1181,14,1216
1182,14,1217
1183,14,1218
1184,14,1219
1185,14,1220
1186,14,1221
1187,14,1222
1188,14,1223
1189,14,1224
1190,14,1225
1191,14,1226
1192,14,705
1193,14,322
1194,14,1227
1195,14,1228
1196,14,1229
1197,14,1230
1198,14,1231
1199,14,1232
1200,14,1233
1201,14,1234
1202,14,1235
1203,14,1236
1204,14,1237
1205,14,1238
1206,14,1239
1207,14,55
1208,14,1240
1209,14,1241
1210,14,1242
1211,14,1243
1212,14,1244
1213,14,1245
1214,14,69
1215,15,1246
1216,15,21
1217,15,1108
1218,15,91
1219,15,60
1220,15,1247
1221,15,82
1222,15,1248
1223,15,1249
1224,15,132
1225,15,1250
1226,15,63
1227,15,133
1228,15,1251
1229,15,45
1230,15,86
1231,15,122
1232,15,1252
1233,15,124
1234,15,1253
1235,15,51
1236,15,1254
1237,15,1255
1238,15,1256
1239,15,1257
1240,15,1258
1241,15,1259
1242,15,1260
1243,15,1261
1244,15,120
1245,15,1262
1246,15,1263
1247,15,80
1248,15,1264
1249,15,1265
1250,15,1266
1251,15,1267
1252,15,1268
1253,15,1269
1254,15,1270
1255,15,1271
1256,15,102
1257,15,1272
1258,15,1273
1259,15,1274
1260,15,1275
1261,15,1276
1262,15,1277
1263,15,1278
1264,15,73
1265,15,12
1266,15,9
1267,15,29
1268,15,19
1269,15,17
1270,15,100
1271,15,59
1272,15,89
1273,15,1279
1274,15,1280
1275,15,58
1276,15,126
1277,15,1281
1278,15,353
1279,15,1282
1280,15,1283
1281,15,1284
1282,15,1285
1283,15,1286
1284,15,57
1285,15,1287
1286,15,1288
1287,15,1289
1288,15,1290
1289,15,1291
1290,15,5
1291,15,1292
1292,15,1293
1293,15,8
1294,15,1294
1295,15,1295
1296,15,1296
1297,15,1297
1298,15,1298
1299,15,114
1300,15,1299
1301,15,1300
1302,15,1301
1303,15,1302
1304,15,1303
1305,15,1304
1306,15,1305
1307,15,1306
1308,15,56
1309,15,1307
1310,15,1308
1311,15,1309
1312,15,1310
1313,15,1311
1314,15,807
1315,16,1312
1316,16,806
1317,16,1313
1318,16,1314
1319,16,243
1320,16,239
1321,16,1315
1322,16,1316
1323,16,1317
1324,16,1318
1325,16,1319
1326,16,1320
1327,16,1321
1328,16,1322
1329,16,809
1330,16,810
1331,16,1323
1332,16,1324
1333,16,226
1334,16,69
1335,16,53
1336,17,9
1337,17,1325
1338,17,115
1339,17,1326
1340,17,1327
1341,17,57
1342,17,1328
1343,17,1329
1344,17,1247
1345,17,60
1346,17,91
1347,17,15
1348,17,1330
1349,17,1331
1350,17,1332
1351,17,86
1352,17,1333
1353,17,1334
1354,17,1335
1355,17,1336
1356,17,1337
1357,17,1338
1358,17,1339
1359,17,1340
1360,17,1341
1361,17,1342
1362,17,1343
1363,17,1344
1364,17,1345
1365,17,1346
1366,17,1347
1367,17,1348
1368,17,1263
1369,17,1349
1370,17,1350
1371,17,1351
1372,17,1352
1373,17,61
1374,17,73
1375,17,1353
1376,17,1354
1377,17,1355
1378,17,1356
1379,17,1249
1380,17,1357
1381,17,1358
1382,17,1359
1383,17,1360
1384,17,1361
1385,17,89
1386,17,8
1387,17,92
1388,17,1362
1389,17,56
1390,17,1363
1391,17,1364
1392,17,1365
1393,17,80
1394,17,1029
1395,17,1366
1396,17,1367
1397,17,49
1398,17,1368
1399,17,1369
1400,17,1246
1401,17,1370
1402,17,1371
1403,17,1372
1404,17,58
1405,17,114
1406,17,1373
1407,17,1374
1408,17,699
1409,17,1375
1410,17,1376
1411,17,1377
1412,17,1378
1413,17,54
1414,17,1379
1415,17,1380
1416,17,1381
1417,17,1382
1418,17,1383
1419,17,1384
1420,17,1385
1421,17,1386
1422,17,1387
1423,17,1388
1424,17,1389
1425,17,1390
1426,17,1391
1427,17,314
1428,17,988
1429,17,1392
1430,17,1393
1431,17,341
1432,17,1394
1433,17,1395
1434,17,1396
1435,17,1397
1436,18,57
1437,18,27
1438,18,129
1439,18,1312
1440,18,1398
1441,18,1399
1442,18,806
1443,18,1313
1444,18,1400
1445,18,1401
1446,18,1402
1447,18,1403
1448,18,1404
1449,18,239
1450,18,1405
1451,18,1406
1452,18,1407
1453,18,1408
1454,18,1167
1455,18,1409
1456,18,1410
1457,18,1411
1458,18,1412
1459,18,1413
1460,18,235
1461,18,1414
1462,18,1326
1463,18,1415
1464,18,1416
1465,18,211
1466,19,27
1467,19,1108
1468,19,129
1469,19,60
1470,19,18
1471,19,1399
1472,19,1404
1473,19,40
1474,19,1403
1475,19,1400
1476,19,1417
1477,19,1402
1478,19,239
1479,19,1418
1480,19,1419
1481,19,1420
1482,19,23
1483,19,1421
1484,19,1422
1485,19,1423
1486,19,1424
1487,19,1425
1488,19,1426
1489,19,1427
1490,19,1428
1491,19,1429
1492,19,1430
1493,19,1431
1494,19,1432
1495,19,1433
1496,19,1434
1497,19,1435
1498,19,1436
1499,19,1437
1500,19,1438
1501,19,1439
1502,19,1440
1503,19,1441
1504,19,1442
1505,19,1443
1506,19,1444
1507,19,1445
1508,19,1446
1509,19,1447
1510,19,1317
1511,19,1448
1512,19,1449
1513,19,1450
1514,19,1451
1515,19,1452
1516,19,1453
1517,19,1454
1518,19,1455
1519,19,1456
1520,19,1457
1521,19,1458
1522,19,1459
1523,19,1416
1524,19,1460
1525,19,1461
1526,19,1462
1527,19,1463
1528,19,1464
1529,19,1465
1530,19,1466
1531,19,1467
1532,19,1468
1533,19,1469
1534,19,1470
1535,19,1471
1536,19,236
1537,19,1472
1538,19,234
1539,19,1473
1540,19,1474
1541,19,1475
1542,19,1476
1543,19,1477
1544,19,1478
1545,19,1479
1546,19,1480
1547,19,1481
1548,19,1482
1549,19,1483
1550,19,1484
1551,19,1485
1552,19,1486
1553,19,1487
1554,19,1488
1555,19,1489
1556,19,1490
1557,19,1491
1558,19,1492
1559,19,1493
1560,19,1494
1561,19,1495
1562,19,1496
1563,19,1497
1564,19,1498
1565,19,1499
1566,20,56
1567,20,59
1568,20,1500
1569,20,1501
1570,20,1502
1571,20,1503
1572,20,423
1573,20,226
1574,20,1504
1575,21,1505
1576,21,1506
1577,21,1507
1578,21,1508
1579,21,1509
1580,21,1510
1581,21,1511
1582,21,98
1583,21,1512
1584,21,1513
1585,21,24
1586,21,1514
1587,21,1515
1588,21,119
1589,21,1516
1590,21,1517
1591,21,1518
1592,21,1519
1593,21,1520
1594,21,1521
1595,21,1522
1596,21,1523
1597,21,1524
1598,21,1525
1599,21,1526
1600,21,1527
1601,21,1528
1602,21,1529
1603,21,1530
1604,21,1531
1605,21,1532
1606,21,126
1607,21,203
1608,21,1533
1609,21,1534
1610,21,1535
1611,21,1536
1612,21,1537
1613,21,1538
1614,21,1539
1615,21,1540
1616,21,1541
1617,21,1542
1618,21,1543
1619,21,1544
1620,21,1545
1621,21,1546
1622,21,1547
1623,21,1548
1624,21,1549
1625,21,1550
1626,21,1551
1627,21,1552
1628,21,1553
1629,21,1554
1630,21,1555
1631,21,1556
1632,21,1557
1633,21,1558
1634,21,1559
1635,21,1560
1636,21,1561
1637,21,1562
1638,21,1563
1639,21,1564
1640,21,1274
1641,21,1565
1642,21,1566
1643,21,1567
1644,21,1568
1645,21,1569
1646,21,1570
1647,21,1571
1648,21,1572
1649,21,1573
1650,21,1574
1651,21,1575
1652,21,1576
1653,21,1577
1654,21,1578
1655,21,1579
1656,21,1580
1657,21,1581
1658,21,1582
1659,21,1583
1660,21,1584
1661,21,1585
1662,21,1586
1663,21,1587
1664,21,1588
1665,21,1589
1666,21,1590
1667,21,1591
1668,21,1592
1669,21,1593
1670,21,1594
1671,21,1595
1672,21,1596
1673,21,1597
1674,21,1598
1675,22,1599
1676,22,1600
1677,22,239
1678,22,1601
1679,22,1602
1680,22,114
1681,22,226
1682,22,53
1683,22,26
1684,22,1603
1685,22,1604
1686,22,1605
1687,22,1606
1688,22,1607
1689,22,69
1690,23,115
1691,23,57
1692,23,1108
1693,23,15
1694,23,76
1695,23,63
1696,23,19
1697,23,3
1698,23,1608
1699,23,1609
1700,23,1610
1701,23,1611
1702,23,1612
1703,23,1613
1704,23,1614
1705,23,1615
1706,23,1616
1707,23,1617
1708,23,1618
1709,23,1619
1710,23,1620
1711,23,1621
1712,23,1622
1713,23,1623
1714,23,235
1715,23,1624
1716,23,1625
1717,23,1626
1718,23,1627
1719,23,1398
1720,23,1628
1721,23,1629
1722,23,1630
1723,23,1631
1724,23,1632
1725,23,1633
1726,23,1634
1727,23,1635
1728,23,1636
1729,23,1637
1730,23,1638
1731,23,1639
1732,23,1640
1733,23,1641
1734,23,1642
1735,23,1643
1736,23,1644
1737,23,1480
1738,23,1645
1739,23,1646
1740,23,1647
1741,23,1648
1742,23,1649
1743,23,1650
1744,23,1651
1745,23,1652
1746,23,1653
1747,23,1654
1748,23,1655
1749,23,1656
1750,23,1657
1751,23,34
1752,23,1658
1753,23,1659
1754,23,1660
1755,23,1661
1756,23,1662
1757,23,1663
1758,23,1664
1759,23,1665
1760,23,1666
1761,23,1667
1762,23,1312
1763,23,1668
1764,23,1669
1765,23,1670
1766,23,1671
1767,23,1672
1768,23,1673
1769,23,1674
1770,23,1675
1771,23,1676
1772,23,1677
1773,23,1678
1774,23,1679
1775,23,27
1776,23,1680
1777,23,1681
1778,23,1682
1779,23,1683
1780,23,1684
1781,23,1685
1782,23,1686
1783,23,1687
1784,23,1688
1785,23,1604
1786,23,1689
1787,23,1690
1788,23,1691
1789,23,1692
1790,24,1506
1791,24,1509
1792,24,1514
1793,24,1693
1794,24,1694
1795,24,1695
1796,24,1696
1797,24,1697
1798,24,1698
1799,24,1699
1800,24,1700
1801,24,1701
1802,24,1702
1803,24,1703
1804,24,1704
1805,24,1705
1806,24,1706
1807,24,1707
1808,24,1708
1809,24,1709
1810,24,1710
1811,24,1711
1812,24,1712
1813,24,1713
1814,24,1714
1815,24,1715
1816,24,1583
1817,24,1716
1818,24,1545
1819,24,1717
1820,24,1718
1821,24,1719
1822,24,1720
1823,24,1721
1824,24,1722
1825,24,1723
1826,24,1724
1827,24,1725
1828,24,1726
1829,24,1521
1830,24,1727
1831,24,1728
1832,24,1729
1833,24,1730
1834,24,1731
1835,24,1732
1836,24,1733
1837,24,1734
1838,24,1735
1839,24,1736
1840,24,1737
1841,24,1738
1842,24,1739
1843,24,1740
1844,24,1741
1845,24,1742
1846,24,1743
1847,24,1744
1848,24,1745
1849,24,1746
1850,24,1747
1851,24,1748
1852,24,1749
1853,24,1750
1854,24,1751
1855,24,1752
1856,24,1753
1857,24,1754
1858,24,21
1859,24,1755
1860,24,1756
1861,25,1757
1862,25,1758
1863,25,1759
1864,25,1760
1865,25,1761
1866,25,1762
1867,25,1763
1868,25,1764
1869,25,1765
1870,25,1766
1871,25,1767
1872,25,1768
1873,25,1769
1874,25,1770
1875,25,53
1876,25,1176
1877,25,1162
1878,25,1771
1879,25,1772
1880,25,106
1881,25,814
1882,25,807
1883,25,1773
1884,25,1774
1885,25,1775
1886,25,1776
1887,25,1777
1888,25,1778
1889,25,1779
1890,25,1780
1891,25,1781
1892,25,1782
1893,25,1783
1894,25,1784
1895,25,1785
1896,25,1786
1897,25,1787
1898,25,1788
1899,25,1789
1900,25,1790
1901,25,1791
1902,25,1792
1903,25,1793
1904,25,1794
1905,25,1795
1906,25,226
1907,25,1796
1908,25,1797
1909,25,1798
1910,25,1799
1911,25,1800
1912,25,1801
1913,25,1802
1914,25,1803
1915,25,1804
1916,25,1805
1917,25,1806
1918,25,1807
1919,25,1808
1920,25,1809
1921,25,1810
1922,25,69
1923,25,1811
1924,25,1812
1925,25,1813
1926,25,1814
1927,25,1815
1928,25,1816
1929,25,1817
1930,25,1818
1931,25,1819
1932,25,1820
1933,25,1821
1934,25,1822
1935,25,1823
1936,25,1824
1937,25,1825
1938,25,1826
1939,25,1827
1940,25,1828
1941,25,1829
1942,25,1830
1943,25,1831
1944,25,1832
1945,25,1833
1946,25,1834
1947,25,1835
1948,25,1836
1949,25,1837
1950,25,1838
1951,25,1839
1952,25,1840
1953,25,1841
1954,25,1842
1955,25,1843
1956,25,1844
1957,25,1845
1958,25,1846
1959,25,1847
1960,25,1848
1961,26,129
1962,26,1312
1963,26,18
1964,26,1604
1965,26,1401
1966,26,1849
1967,26,1850
1968,26,311
1969,26,235
1970,26,1420
1971,26,1406
1972,26,1482
1973,26,1851
1974,26,1413
1975,26,1606
1976,26,1852
1977,26,1853
1978,26,1854
1979,26,236
1980,26,1855
1981,26,1856
1982,26,1857
1983,26,1858
1984,26,1859
1985,26,1860
1986,26,1861
1987,26,1862
1988,26,1863
1989,26,1864
1990,26,1865
1991,26,1866
1992,26,1867
1993,26,1868
1994,26,1869
1995,26,1870
1996,26,1490
1997,26,1416
1998,26,1871
1999,26,1872
2000,26,1873
2001,26,1874
2002,26,1875
2003,26,1876
2004,26,1877
2005,26,1878
2006,26,1879
